,pos_img_name,bin_start,bin_ends
196,pos_img_39_1.png,1610602280053927.5,1610602280062018.0
197,pos_img_39_2.png,1610602280062018.0,1610602280070108.2
198,pos_img_39_3.png,1610602280070108.2,1610602280078198.8
199,pos_img_39_4.png,1610602280078198.8,1610602280086289.0
200,pos_img_40_0.png,1610602280086289.0,1610602280094379.2
201,pos_img_40_1.png,1610602280094379.2,1610602280102469.8
202,pos_img_40_2.png,1610602280102469.8,1610602280110560.0
203,pos_img_40_3.png,1610602280110560.0,1610602280118650.5
204,pos_img_40_4.png,1610602280118650.5,1610602280126740.8
205,pos_img_41_0.png,1610602280126740.8,1610602280134831.0
206,pos_img_41_1.png,1610602280134831.0,1610602280142921.5
207,pos_img_41_2.png,1610602280142921.5,1610602280151011.8
208,pos_img_41_3.png,1610602280151011.8,1610602280159102.2
209,pos_img_41_4.png,1610602280159102.2,1610602280167192.5
210,pos_img_42_0.png,1610602280167192.5,1610602280175282.8
211,pos_img_42_1.png,1610602280175282.8,1610602280183373.2
212,pos_img_42_2.png,1610602280183373.2,1610602280191463.5
213,pos_img_42_3.png,1610602280191463.5,1610602280199554.0
214,pos_img_42_4.png,1610602280199554.0,1610602280207644.2
215,pos_img_43_0.png,1610602280207644.2,1610602280215734.5
216,pos_img_43_1.png,1610602280215734.5,1610602280223825.0
217,pos_img_43_2.png,1610602280223825.0,1610602280231915.2
218,pos_img_43_3.png,1610602280231915.2,1610602280240005.8
219,pos_img_43_4.png,1610602280240005.8,1610602280248096.0
220,pos_img_44_0.png,1610602280248096.0,1610602280256186.2
221,pos_img_44_1.png,1610602280256186.2,1610602280264276.8
222,pos_img_44_2.png,1610602280264276.8,1610602280272367.0
223,pos_img_44_3.png,1610602280272367.0,1610602280280457.5
224,pos_img_44_4.png,1610602280280457.5,1610602280288547.8
225,pos_img_45_0.png,1610602280288547.8,1610602280296638.0
226,pos_img_45_1.png,1610602280296638.0,1610602280304728.5
227,pos_img_45_2.png,1610602280304728.5,1610602280312818.8
228,pos_img_45_3.png,1610602280312818.8,1610602280320909.2
229,pos_img_45_4.png,1610602280320909.2,1610602280328999.5
230,pos_img_46_0.png,1610602280328999.5,1610602280337089.8
231,pos_img_46_1.png,1610602280337089.8,1610602280345180.2
232,pos_img_46_2.png,1610602280345180.2,1610602280353270.5
233,pos_img_46_3.png,1610602280353270.5,1610602280361361.0
234,pos_img_46_4.png,1610602280361361.0,1610602280369451.2
235,pos_img_47_0.png,1610602280369451.2,1610602280377541.5
236,pos_img_47_1.png,1610602280377541.5,1610602280385632.0
237,pos_img_47_2.png,1610602280385632.0,1610602280393722.2
238,pos_img_47_3.png,1610602280393722.2,1610602280401812.8
239,pos_img_47_4.png,1610602280401812.8,1610602280409903.0
240,pos_img_48_0.png,1610602280409903.0,1610602280417993.2
241,pos_img_48_1.png,1610602280417993.2,1610602280426083.8
242,pos_img_48_2.png,1610602280426083.8,1610602280434174.0
243,pos_img_48_3.png,1610602280434174.0,1610602280442264.5
244,pos_img_48_4.png,1610602280442264.5,1610602280450354.8
245,pos_img_49_0.png,1610602280450354.8,1610602280458445.0
246,pos_img_49_1.png,1610602280458445.0,1610602280466535.5
247,pos_img_49_2.png,1610602280466535.5,1610602280474625.8
248,pos_img_49_3.png,1610602280474625.8,1610602280482716.2
249,pos_img_49_4.png,1610602280482716.2,1610602280490806.5
250,pos_img_50_0.png,1610602280490806.5,1610602280498896.8
251,pos_img_50_1.png,1610602280498896.8,1610602280506987.2
252,pos_img_50_2.png,1610602280506987.2,1610602280515077.5
253,pos_img_50_3.png,1610602280515077.5,1610602280523168.0
254,pos_img_50_4.png,1610602280523168.0,1610602280531258.2
255,pos_img_51_0.png,1610602280531258.2,1610602280539348.5
256,pos_img_51_1.png,1610602280539348.5,1610602280547439.0
257,pos_img_51_2.png,1610602280547439.0,1610602280555529.2
258,pos_img_51_3.png,1610602280555529.2,1610602280563619.8
259,pos_img_51_4.png,1610602280563619.8,1610602280571710.0
260,pos_img_52_0.png,1610602280571710.0,1610602280579800.2
261,pos_img_52_1.png,1610602280579800.2,1610602280587890.8
262,pos_img_52_2.png,1610602280587890.8,1610602280595981.0
263,pos_img_52_3.png,1610602280595981.0,1610602280604071.5
264,pos_img_52_4.png,1610602280604071.5,1610602280612161.8
265,pos_img_53_0.png,1610602280612161.8,1610602280620252.0
266,pos_img_53_1.png,1610602280620252.0,1610602280628342.5
267,pos_img_53_2.png,1610602280628342.5,1610602280636432.8
268,pos_img_53_3.png,1610602280636432.8,1610602280644523.2
269,pos_img_53_4.png,1610602280644523.2,1610602280652613.5
270,pos_img_54_0.png,1610602280652613.5,1610602280660703.8
271,pos_img_54_1.png,1610602280660703.8,1610602280668794.2
272,pos_img_54_2.png,1610602280668794.2,1610602280676884.5
273,pos_img_54_3.png,1610602280676884.5,1610602280684975.0
274,pos_img_54_4.png,1610602280684975.0,1610602280693065.2
275,pos_img_55_0.png,1610602280693065.2,1610602280701155.5
276,pos_img_55_1.png,1610602280701155.5,1610602280709246.0
277,pos_img_55_2.png,1610602280709246.0,1610602280717336.2
278,pos_img_55_3.png,1610602280717336.2,1610602280725426.8
279,pos_img_55_4.png,1610602280725426.8,1610602280733517.0
280,pos_img_56_0.png,1610602280733517.0,1610602280741607.2
281,pos_img_56_1.png,1610602280741607.2,1610602280749697.8
282,pos_img_56_2.png,1610602280749697.8,1610602280757788.0
283,pos_img_56_3.png,1610602280757788.0,1610602280765878.5
284,pos_img_56_4.png,1610602280765878.5,1610602280773968.8
285,pos_img_57_0.png,1610602280773968.8,1610602280782059.0
286,pos_img_57_1.png,1610602280782059.0,1610602280790149.5
287,pos_img_57_2.png,1610602280790149.5,1610602280798239.8
288,pos_img_57_3.png,1610602280798239.8,1610602280806330.2
289,pos_img_57_4.png,1610602280806330.2,1610602280814420.5
290,pos_img_58_0.png,1610602280814420.5,1610602280822510.8
291,pos_img_58_1.png,1610602280822510.8,1610602280830601.2
292,pos_img_58_2.png,1610602280830601.2,1610602280838691.5
293,pos_img_58_3.png,1610602280838691.5,1610602280846782.0
294,pos_img_58_4.png,1610602280846782.0,1610602280854872.2
295,pos_img_59_0.png,1610602280854872.2,1610602280862962.5
296,pos_img_59_1.png,1610602280862962.5,1610602280871053.0
297,pos_img_59_2.png,1610602280871053.0,1610602280879143.2
298,pos_img_59_3.png,1610602280879143.2,1610602280887233.8
299,pos_img_59_4.png,1610602280887233.8,1610602280895324.0
300,pos_img_60_0.png,1610602280895324.0,1610602280903414.2
301,pos_img_60_1.png,1610602280903414.2,1610602280911504.8
302,pos_img_60_2.png,1610602280911504.8,1610602280919595.0
303,pos_img_60_3.png,1610602280919595.0,1610602280927685.5
304,pos_img_60_4.png,1610602280927685.5,1610602280935775.8
305,pos_img_61_0.png,1610602280935775.8,1610602280943866.0
306,pos_img_61_1.png,1610602280943866.0,1610602280951956.5
307,pos_img_61_2.png,1610602280951956.5,1610602280960046.8
308,pos_img_61_3.png,1610602280960046.8,1610602280968137.2
309,pos_img_61_4.png,1610602280968137.2,1610602280976227.5
310,pos_img_62_0.png,1610602280976227.5,1610602280984317.8
311,pos_img_62_1.png,1610602280984317.8,1610602280992408.2
312,pos_img_62_2.png,1610602280992408.2,1610602281000498.5
313,pos_img_62_3.png,1610602281000498.5,1610602281008589.0
314,pos_img_62_4.png,1610602281008589.0,1610602281016679.2
315,pos_img_63_0.png,1610602281016679.2,1610602281024769.5
316,pos_img_63_1.png,1610602281024769.5,1610602281032860.0
317,pos_img_63_2.png,1610602281032860.0,1610602281040950.2
318,pos_img_63_3.png,1610602281040950.2,1610602281049040.8
319,pos_img_63_4.png,1610602281049040.8,1610602281057131.0
320,pos_img_64_0.png,1610602281057131.0,1610602281065221.2
321,pos_img_64_1.png,1610602281065221.2,1610602281073311.8
322,pos_img_64_2.png,1610602281073311.8,1610602281081402.0
323,pos_img_64_3.png,1610602281081402.0,1610602281089492.5
324,pos_img_64_4.png,1610602281089492.5,1610602281097582.8
325,pos_img_65_0.png,1610602281097582.8,1610602281105673.0
326,pos_img_65_1.png,1610602281105673.0,1610602281113763.5
327,pos_img_65_2.png,1610602281113763.5,1610602281121853.8
328,pos_img_65_3.png,1610602281121853.8,1610602281129944.2
329,pos_img_65_4.png,1610602281129944.2,1610602281138034.5
330,pos_img_66_0.png,1610602281138034.5,1610602281146124.8
331,pos_img_66_1.png,1610602281146124.8,1610602281154215.2
332,pos_img_66_2.png,1610602281154215.2,1610602281162305.5
333,pos_img_66_3.png,1610602281162305.5,1610602281170396.0
334,pos_img_66_4.png,1610602281170396.0,1610602281178486.2
335,pos_img_67_0.png,1610602281178486.2,1610602281186576.5
336,pos_img_67_1.png,1610602281186576.5,1610602281194667.0
337,pos_img_67_2.png,1610602281194667.0,1610602281202757.2
338,pos_img_67_3.png,1610602281202757.2,1610602281210847.8
339,pos_img_67_4.png,1610602281210847.8,1610602281218938.0
340,pos_img_68_0.png,1610602281218938.0,1610602281227028.2
341,pos_img_68_1.png,1610602281227028.2,1610602281235118.8
342,pos_img_68_2.png,1610602281235118.8,1610602281243209.0
343,pos_img_68_3.png,1610602281243209.0,1610602281251299.5
344,pos_img_68_4.png,1610602281251299.5,1610602281259389.8
345,pos_img_69_0.png,1610602281259389.8,1610602281267480.0
346,pos_img_69_1.png,1610602281267480.0,1610602281275570.5
347,pos_img_69_2.png,1610602281275570.5,1610602281283660.8
348,pos_img_69_3.png,1610602281283660.8,1610602281291751.2
349,pos_img_69_4.png,1610602281291751.2,1610602281299841.5
350,pos_img_70_0.png,1610602281299841.5,1610602281307931.8
351,pos_img_70_1.png,1610602281307931.8,1610602281316022.2
352,pos_img_70_2.png,1610602281316022.2,1610602281324112.5
353,pos_img_70_3.png,1610602281324112.5,1610602281332203.0
354,pos_img_70_4.png,1610602281332203.0,1610602281340293.2
355,pos_img_71_0.png,1610602281340293.2,1610602281348383.5
356,pos_img_71_1.png,1610602281348383.5,1610602281356474.0
357,pos_img_71_2.png,1610602281356474.0,1610602281364564.2
358,pos_img_71_3.png,1610602281364564.2,1610602281372654.8
359,pos_img_71_4.png,1610602281372654.8,1610602281380745.0
360,pos_img_72_0.png,1610602281380745.0,1610602281388835.2
361,pos_img_72_1.png,1610602281388835.2,1610602281396925.8
362,pos_img_72_2.png,1610602281396925.8,1610602281405016.0
363,pos_img_72_3.png,1610602281405016.0,1610602281413106.5
364,pos_img_72_4.png,1610602281413106.5,1610602281421196.8
365,pos_img_73_0.png,1610602281421196.8,1610602281429287.0
366,pos_img_73_1.png,1610602281429287.0,1610602281437377.5
367,pos_img_73_2.png,1610602281437377.5,1610602281445467.8
368,pos_img_73_3.png,1610602281445467.8,1610602281453558.2
369,pos_img_73_4.png,1610602281453558.2,1610602281461648.5
370,pos_img_74_0.png,1610602281461648.5,1610602281469738.8
371,pos_img_74_1.png,1610602281469738.8,1610602281477829.2
372,pos_img_74_2.png,1610602281477829.2,1610602281485919.5
373,pos_img_74_3.png,1610602281485919.5,1610602281494010.0
374,pos_img_74_4.png,1610602281494010.0,1610602281502100.2
375,pos_img_75_0.png,1610602281502100.2,1610602281510190.5
376,pos_img_75_1.png,1610602281510190.5,1610602281518281.0
377,pos_img_75_2.png,1610602281518281.0,1610602281526371.2
378,pos_img_75_3.png,1610602281526371.2,1610602281534461.8
379,pos_img_75_4.png,1610602281534461.8,1610602281542552.0
380,pos_img_76_0.png,1610602281542552.0,1610602281550642.2
381,pos_img_76_1.png,1610602281550642.2,1610602281558732.8
382,pos_img_76_2.png,1610602281558732.8,1610602281566823.0
383,pos_img_76_3.png,1610602281566823.0,1610602281574913.5
384,pos_img_76_4.png,1610602281574913.5,1610602281583003.8
385,pos_img_77_0.png,1610602281583003.8,1610602281591094.0
386,pos_img_77_1.png,1610602281591094.0,1610602281599184.5
387,pos_img_77_2.png,1610602281599184.5,1610602281607274.8
388,pos_img_77_3.png,1610602281607274.8,1610602281615365.2
389,pos_img_77_4.png,1610602281615365.2,1610602281623455.5
390,pos_img_78_0.png,1610602281623455.5,1610602281631545.8
391,pos_img_78_1.png,1610602281631545.8,1610602281639636.2
392,pos_img_78_2.png,1610602281639636.2,1610602281647726.5
393,pos_img_78_3.png,1610602281647726.5,1610602281655817.0
394,pos_img_78_4.png,1610602281655817.0,1610602281663907.2
395,pos_img_79_0.png,1610602281663907.2,1610602281671997.5
396,pos_img_79_1.png,1610602281671997.5,1610602281680088.0
397,pos_img_79_2.png,1610602281680088.0,1610602281688178.2
398,pos_img_79_3.png,1610602281688178.2,1610602281696268.8
399,pos_img_79_4.png,1610602281696268.8,1610602281704359.0
400,pos_img_80_0.png,1610602281704359.0,1610602281712449.2
401,pos_img_80_1.png,1610602281712449.2,1610602281720539.8
402,pos_img_80_2.png,1610602281720539.8,1610602281728630.0
403,pos_img_80_3.png,1610602281728630.0,1610602281736720.5
404,pos_img_80_4.png,1610602281736720.5,1610602281744810.8
405,pos_img_81_0.png,1610602281744810.8,1610602281752901.0
406,pos_img_81_1.png,1610602281752901.0,1610602281760991.5
407,pos_img_81_2.png,1610602281760991.5,1610602281769081.8
408,pos_img_81_3.png,1610602281769081.8,1610602281777172.2
409,pos_img_81_4.png,1610602281777172.2,1610602281785262.5
410,pos_img_82_0.png,1610602281785262.5,1610602281793352.8
