,neg_img_name,bin_start,bin_ends
136,neg_img_13_6.png,1610602279018362.8,1610602279022408.0
137,neg_img_13_7.png,1610602279022408.0,1610602279026453.2
138,neg_img_13_8.png,1610602279026453.2,1610602279030498.2
139,neg_img_13_9.png,1610602279030498.2,1610602279034543.5
140,neg_img_14_0.png,1610602279034543.5,1610602279038588.8
141,neg_img_14_1.png,1610602279038588.8,1610602279042633.8
142,neg_img_14_2.png,1610602279042633.8,1610602279046679.0
143,neg_img_14_3.png,1610602279046679.0,1610602279050724.2
144,neg_img_14_4.png,1610602279050724.2,1610602279054769.5
145,neg_img_14_5.png,1610602279054769.5,1610602279058814.5
146,neg_img_14_6.png,1610602279058814.5,1610602279062859.8
147,neg_img_14_7.png,1610602279062859.8,1610602279066905.0
148,neg_img_14_8.png,1610602279066905.0,1610602279070950.0
149,neg_img_14_9.png,1610602279070950.0,1610602279074995.2
150,neg_img_15_0.png,1610602279074995.2,1610602279079040.5
151,neg_img_15_1.png,1610602279079040.5,1610602279083085.5
152,neg_img_15_2.png,1610602279083085.5,1610602279087130.8
153,neg_img_15_3.png,1610602279087130.8,1610602279091176.0
154,neg_img_15_4.png,1610602279091176.0,1610602279095221.0
155,neg_img_15_5.png,1610602279095221.0,1610602279099266.2
156,neg_img_15_6.png,1610602279099266.2,1610602279103311.5
157,neg_img_15_7.png,1610602279103311.5,1610602279107356.8
158,neg_img_15_8.png,1610602279107356.8,1610602279111401.8
159,neg_img_15_9.png,1610602279111401.8,1610602279115447.0
160,neg_img_16_0.png,1610602279115447.0,1610602279119492.2
161,neg_img_16_1.png,1610602279119492.2,1610602279123537.2
162,neg_img_16_2.png,1610602279123537.2,1610602279127582.5
163,neg_img_16_3.png,1610602279127582.5,1610602279131627.8
164,neg_img_16_4.png,1610602279131627.8,1610602279135673.0
165,neg_img_16_5.png,1610602279135673.0,1610602279139718.0
166,neg_img_16_6.png,1610602279139718.0,1610602279143763.2
167,neg_img_16_7.png,1610602279143763.2,1610602279147808.5
168,neg_img_16_8.png,1610602279147808.5,1610602279151853.5
169,neg_img_16_9.png,1610602279151853.5,1610602279155898.8
170,neg_img_17_0.png,1610602279155898.8,1610602279159944.0
171,neg_img_17_1.png,1610602279159944.0,1610602279163989.0
172,neg_img_17_2.png,1610602279163989.0,1610602279168034.2
173,neg_img_17_3.png,1610602279168034.2,1610602279172079.5
174,neg_img_17_4.png,1610602279172079.5,1610602279176124.5
175,neg_img_17_5.png,1610602279176124.5,1610602279180169.8
176,neg_img_17_6.png,1610602279180169.8,1610602279184215.0
177,neg_img_17_7.png,1610602279184215.0,1610602279188260.2
178,neg_img_17_8.png,1610602279188260.2,1610602279192305.2
179,neg_img_17_9.png,1610602279192305.2,1610602279196350.5
180,neg_img_18_0.png,1610602279196350.5,1610602279200395.8
181,neg_img_18_1.png,1610602279200395.8,1610602279204440.8
182,neg_img_18_2.png,1610602279204440.8,1610602279208486.0
183,neg_img_18_3.png,1610602279208486.0,1610602279212531.2
184,neg_img_18_4.png,1610602279212531.2,1610602279216576.5
185,neg_img_18_5.png,1610602279216576.5,1610602279220621.5
186,neg_img_18_6.png,1610602279220621.5,1610602279224666.8
187,neg_img_18_7.png,1610602279224666.8,1610602279228712.0
188,neg_img_18_8.png,1610602279228712.0,1610602279232757.0
189,neg_img_18_9.png,1610602279232757.0,1610602279236802.2
190,neg_img_19_0.png,1610602279236802.2,1610602279240847.5
191,neg_img_19_1.png,1610602279240847.5,1610602279244892.5
192,neg_img_19_2.png,1610602279244892.5,1610602279248937.8
193,neg_img_19_3.png,1610602279248937.8,1610602279252983.0
194,neg_img_19_4.png,1610602279252983.0,1610602279257028.0
195,neg_img_19_5.png,1610602279257028.0,1610602279261073.2
196,neg_img_19_6.png,1610602279261073.2,1610602279265118.5
197,neg_img_19_7.png,1610602279265118.5,1610602279269163.8
198,neg_img_19_8.png,1610602279269163.8,1610602279273208.8
199,neg_img_19_9.png,1610602279273208.8,1610602279277254.0
200,neg_img_20_0.png,1610602279277254.0,1610602279281299.2
201,neg_img_20_1.png,1610602279281299.2,1610602279285344.2
202,neg_img_20_2.png,1610602279285344.2,1610602279289389.5
203,neg_img_20_3.png,1610602279289389.5,1610602279293434.8
204,neg_img_20_4.png,1610602279293434.8,1610602279297480.0
205,neg_img_20_5.png,1610602279297480.0,1610602279301525.0
206,neg_img_20_6.png,1610602279301525.0,1610602279305570.2
207,neg_img_20_7.png,1610602279305570.2,1610602279309615.5
208,neg_img_20_8.png,1610602279309615.5,1610602279313660.5
209,neg_img_20_9.png,1610602279313660.5,1610602279317705.8
210,neg_img_21_0.png,1610602279317705.8,1610602279321751.0
211,neg_img_21_1.png,1610602279321751.0,1610602279325796.0
212,neg_img_21_2.png,1610602279325796.0,1610602279329841.2
213,neg_img_21_3.png,1610602279329841.2,1610602279333886.5
214,neg_img_21_4.png,1610602279333886.5,1610602279337931.5
215,neg_img_21_5.png,1610602279337931.5,1610602279341976.8
216,neg_img_21_6.png,1610602279341976.8,1610602279346022.0
217,neg_img_21_7.png,1610602279346022.0,1610602279350067.2
218,neg_img_21_8.png,1610602279350067.2,1610602279354112.2
219,neg_img_21_9.png,1610602279354112.2,1610602279358157.5
220,neg_img_22_0.png,1610602279358157.5,1610602279362202.8
221,neg_img_22_1.png,1610602279362202.8,1610602279366247.8
222,neg_img_22_2.png,1610602279366247.8,1610602279370293.0
223,neg_img_22_3.png,1610602279370293.0,1610602279374338.2
224,neg_img_22_4.png,1610602279374338.2,1610602279378383.5
225,neg_img_22_5.png,1610602279378383.5,1610602279382428.5
226,neg_img_22_6.png,1610602279382428.5,1610602279386473.8
227,neg_img_22_7.png,1610602279386473.8,1610602279390519.0
228,neg_img_22_8.png,1610602279390519.0,1610602279394564.0
229,neg_img_22_9.png,1610602279394564.0,1610602279398609.2
230,neg_img_23_0.png,1610602279398609.2,1610602279402654.5
